Message Name,Field Def #,Field Name,Field Type,Array,,,,,,,,,,Products:,EXAMPLE
,,,COMMON MESSAGES,,,,,,,,,,,,
file_id,,,,,,,,,,,,,,,
,0,type,file,,,,,,,,,,,,1
,1,manufacturer,manufacturer,,,,,,,,,,,,1
,2,product,uint16,,,,,,,,,,,,1
,,garmin_product,garmin_product,,,,,,,,,,,,1
,3,serial_number,uint32z,,,,,,,,,,,,1
,4,time_created,date_time,,,,,,,,,,,,1
,5,number,uint16,,,,,,,,,,,,1
,8,product_name,string,,,,,,,,,,,,20

file_creator,,,,,,,,,,,,,,,
,0,software_version,uint16,,,,,,,,,,,,1
,1,hardware_version,uint8,,,,,,,,,,,,1

timestamp_correlation,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,
,0,fractional_timestamp,uint16,,,,,,,,,,,,
,1,system_timestamp,date_time,,,,,,,,,,,,
,2,fractional_system_timestamp,uint16,,,,,,,,,,,,
,3,local_timestamp,local_date_time,,,,,,,,,,,,
,4,timestamp_ms,uint16,,,,,,,,,,,,
,5,system_timestamp_ms,uint16,,,,,,,,,,,,

,,,DEVICE FILE MESSAGES,,,,,,,,,,,,
software,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,3,version,uint16,,,,,,,,,,,,1
,5,part_number,string,,,,,,,,,,,,16

slave_device,,,,,,,,,,,,,,,
,0,manufacturer,manufacturer,,,,,,,,,,,,1
,1,product,uint16,,,,,,,,,,,,1
,,garmin_product,garmin_product,,,,,,,,,,,,1

capabilities,,,,,,,,,,,,,,,
,0,languages,uint8z,[N],,,,,,,,,,,4
,1,sports,sport_bits_0,[N],,,,,,,,,,,1
,21,workouts_supported,workout_capabilities,,,,,,,,,,,,1
,23,connectivity_supported,connectivity_capabilities,,,,,,,,,,,,1

file_capabilities,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,type,file,,,,,,,,,,,,1
,1,flags,file_flags,,,,,,,,,,,,1
,2,directory,string,,,,,,,,,,,,16
,3,max_count,uint16,,,,,,,,,,,,1
,4,max_size,uint32,,,,,,,,,,,,1

mesg_capabilities,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,file,file,,,,,,,,,,,,1
,1,mesg_num,mesg_num,,,,,,,,,,,,1
,2,count_type,mesg_count,,,,,,,,,,,,1
,3,count,uint16,,,,,,,,,,,,1
,,num_per_file,uint16,,,,,,,,,,,,1
,,max_per_file,uint16,,,,,,,,,,,,1
,,max_per_file_type,uint16,,,,,,,,,,,,1

field_capabilities,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,file,file,,,,,,,,,,,,1
,1,mesg_num,mesg_num,,,,,,,,,,,,1
,2,field_num,uint8,,,,,,,,,,,,1
,3,count,uint16,,,,,,,,,,,,1

,,,SETTINGS FILE MESSAGES,,,,,,,,,,,,
device_settings,,,,,,,,,,,,,,,
,0,active_time_zone,uint8,,,,,,,,,,,,1
,1,utc_offset,uint32,,,,,,,,,,,,1
,2,time_offset,uint32,[N],,,,,,,,,,,2
,4,time_mode,time_mode,[N],,,,,,,,,,,2
,5,time_zone_offset,sint8,[N],,,,,,,,,,,2
,12,backlight_mode,backlight_mode,,,,,,,,,,,,1
,36,activity_tracker_enabled,bool,,,,,,,,,,,,1
,39,clock_time,date_time,,,,,,,,,,,,1
,40,pages_enabled,uint16,[N],,,,,,,,,,,1
,46,move_alert_enabled,bool,,,,,,,,,,,,1
,47,date_mode,date_mode,,,,,,,,,,,,1
,55,display_orientation,display_orientation,,,,,,,,,,,,1
,56,mounting_side,side,,,,,,,,,,,,1
,57,default_page,uint16,[N],,,,,,,,,,,1
,58,autosync_min_steps,uint16,,,,,,,,,,,,1
,59,autosync_min_time,uint16,,,,,,,,,,,,1
,80,lactate_threshold_autodetect_enabled,bool,,,,,,,,,,,,
,86,ble_auto_upload_enabled,bool,,,,,,,,,,,,
,89,auto_sync_frequency,auto_sync_frequency,,,,,,,,,,,,
,90,auto_activity_detect,auto_activity_detect,,,,,,,,,,,,
,94,number_of_screens,uint8,,,,,,,,,,,,
,95,smart_notification_display_orientation,display_orientation,,,,,,,,,,,,

user_profile,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,friendly_name,string,,,,,,,,,,,,16
,1,gender,gender,,,,,,,,,,,,1
,2,age,uint8,,,,,,,,,,,,1
,3,height,uint8,,,,,,,,,,,,1
,4,weight,uint16,,,,,,,,,,,,1
,5,language,language,,,,,,,,,,,,1
,6,elev_setting,display_measure,,,,,,,,,,,,1
,7,weight_setting,display_measure,,,,,,,,,,,,1
,8,resting_heart_rate,uint8,,,,,,,,,,,,1
,9,default_max_running_heart_rate,uint8,,,,,,,,,,,,1
,10,default_max_biking_heart_rate,uint8,,,,,,,,,,,,1
,11,default_max_heart_rate,uint8,,,,,,,,,,,,1
,12,hr_setting,display_heart,,,,,,,,,,,,1
,13,speed_setting,display_measure,,,,,,,,,,,,1
,14,dist_setting,display_measure,,,,,,,,,,,,1
,16,power_setting,display_power,,,,,,,,,,,,1
,17,activity_class,activity_class,,,,,,,,,,,,1
,18,position_setting,display_position,,,,,,,,,,,,1
,21,temperature_setting,display_measure,,,,,,,,,,,,1
,22,local_id,user_local_id,,,,,,,,,,,,1
,23,global_id,byte,[6],,,,,,,,,,,1
,28,wake_time,localtime_into_day,,,,,,,,,,,,
,29,sleep_time,localtime_into_day,,,,,,,,,,,,
,30,height_setting,display_measure,,,,,,,,,,,,1
,31,user_running_step_length,uint16,,,,,,,,,,,,1
,32,user_walking_step_length,uint16,,,,,,,,,,,,1

hrm_profile,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,enabled,bool,,,,,,,,,,,,1
,1,hrm_ant_id,uint16z,,,,,,,,,,,,1
,2,log_hrv,bool,,,,,,,,,,,,1
,3,hrm_ant_id_trans_type,uint8z,,,,,,,,,,,,1

sdm_profile,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,enabled,bool,,,,,,,,,,,,1
,1,sdm_ant_id,uint16z,,,,,,,,,,,,1
,2,sdm_cal_factor,uint16,,,,,,,,,,,,1
,3,odometer,uint32,,,,,,,,,,,,1
,4,speed_source,bool,,,,,,,,,,,,1
